year,credit_score_group,vol,vol_unadj,log_vol
2020,Deep subprime,3698795505.958187,3697304363.636364,22.03127306466707
2020,Near-prime,12596787559.674267,12457820118.181818,23.256707662815735
2020,Prime,46447279890.35294,46152198238.38384,24.561583740542215
2020,Subprime,5100158827.175409,5064965238.888889,22.352537518775186
2020,Super-prime,188355421086.57928,187720440004.04037,25.9615965526537
2024,Deep subprime,5118149340.80104,5117381783.897608,22.35605875378175
2024,Near-prime,16850141277.677942,16811686290.90073,23.54762487814156
2024,Prime,71397329342.39561,71283265250.27911,24.99152630142427
2024,Subprime,6768039318.537529,6762367955.782158,22.635477268710044
2024,Super-prime,379810490407.8475,379008163181.90533,26.66293825581689
